Input,Output,Time
0.4302,153.888396471471,9.49
0.4302,153.890126957363,9.5
0.4302,153.891849683917,9.51
0.4302,153.893564633572,9.52
0.4302,153.895271893542,9.53
0.4302,153.896971446424,9.54
0.4302,153.89866337865,9.55
0.4302,153.900347672971,9.56
0.4302,153.902024415045,9.57
0.4302,153.90369358778,9.58
0.4302,153.905355276061,9.59
0.4302,153.907009462952,9.6
0.4302,153.908656232577,9.61
0.4302,153.910295568151,9.62
0.4302,153.911927553043,9.63
0.4302,153.91355217062,9.64
0.4302,153.915169503502,9.65
0.4302,153.916779535204,9.66
0.4302,153.918382347608,9.67
0.4302,153.919977924374,9.68
0.4302,153.92156634665,9.69
0.4302,153.923147598245,9.7
0.4302,153.924721759575,9.71
0.4302,153.926288814597,9.72
0.4302,153.927848843005,9.73
0.4302,153.9294018289,9.74
0.4302,153.93094785126,9.75
0.4302,153.932486894328,9.76
0.4302,153.934019036376,9.77
0.4302,153.935544261788,9.78
0.4302,153.937062648132,9.79
0.4302,153.938574179932,9.8
0.4302,153.940078934061,9.81
0.4302,153.941576895182,9.82
0.4302,153.943068139477,9.83
0.4302,153.944552651749,9.84
0.4302,153.946030507494,9.85
0.4302,153.947501691652,9.86
0.4302,153.948966279042,9.87
